:START_ID(Application),:END_ID(Loan)
37631404,59
37811403,148
37731349,114
37771369,15
37711377,127
37601467,11
37701407,428
36631183,1
37681359,38
37791297,46
37741410,15
37631364,288
37601389,127
37631387,546
37681188,148
37761406,30
37751281,612
37721420,21
37771351,1
37641363,17
37631378,25
37721392,37
37671407,148
37691440,619
37821372,25
37601493,22
37821382,58
37800951,156
37701404,156
37601478,27
37601480,626
37651345,11
37801469,22
37641358,163
37841343,38
37127527,631
37287167,85
37651327,633
37731313,22
37651312,59
37681309,15
37147634,163
37651287,148
37701328,386
37741369,640
37801410,641
37630860,642
37701377,396
37327544,644
36361523,645
37840854,127
37771333,30
37821331,648
37771331,1
37711348,1
37701332,38
37641323,652
37811391,85
37741341,1
37671369,22
37841307,6
37601423,85
35763229,32
37811352,16
37801417,77
36049003,11
37690814,11
37821318,38
37741326,25
37681342,38
37711342,32
37631325,1
37671328,22
37791306,22
37611397,85
37731243,22
37671298,46
37077921,156
37691384,38
37811389,16
37621371,1
37661348,32
37721383,59
37841314,23
37831326,15
37791309,681
37741374,8
37711341,683
37811405,41
37771322,62
37611403,85
37611437,77
37681338,8
37841313,38
37307321,46
37661355,691
37711350,148
35854056,59
37801423,23
37781409,11
37831302,38
37831296,697
37631346,29
37621249,59
37791282,700
37761323,29
