:START_ID(Application),:END_ID(Loansts)
37631404,1
37811403,1
37731349,1
37771369,1
37711377,1
37601467,1
37701407,1
36631183,1
37681359,1
37791297,2
37741410,1
37631364,2
37601389,1
37631387,1
37681188,1
37761406,1
37751281,2
37721420,1
37771351,1
37641363,1
37631378,1
37721392,4
37671407,1
37691440,4
37821372,2
37601493,1
37821382,4
37800951,2
37701404,2
37601478,439
37601480,1
37651345,1
37801469,1
37641358,1
37841343,1
37127527,1
37287167,1
37651327,1
37731313,1
37651312,1
37681309,1
37147634,1
37651287,4
37701328,1
37741369,1
37801410,439
37630860,1
37701377,1
37327544,1
36361523,2
37840854,1
37771333,1
37821331,2
37771331,1
37711348,439
37701332,1
37641323,1
37811391,1
37741341,1
37671369,439
37841307,2
37601423,4
35763229,1
37811352,1
37801417,2
36049003,2
37690814,1
37821318,1
37741326,1
37681342,1
37711342,1
37631325,1
37671328,1
37791306,1
37611397,1
37731243,1
37671298,1
37077921,1
37691384,1
37811389,1
37621371,1
37661348,2
37721383,1
37841314,1
37831326,1
37791309,4
37741374,1
37711341,1
37811405,2
37771322,1
37611403,1
37611437,1
37681338,1
37841313,1
37307321,1
37661355,1
37711350,1
35854056,1
37801423,1
37781409,1
37831302,1
37831296,1
37631346,1
37621249,4
37791282,1
37761323,1
