:START_ID(Application),:END_ID(Address)
37631404,405
37811403,597
37731349,598
37771369,271
37711377,347
37601467,601
37701407,602
36631183,603
37681359,462
37791297,605
37741410,606
37631364,607
37601389,104
37631387,112
37681188,610
37761406,107
37751281,212
37721420,613
37771351,614
37641363,615
37631378,81
37721392,617
37671407,110
37691440,619
37821372,159
37601493,621
37821382,339
37800951,623
37701404,288
37601478,8
37601480,144
37651345,627
37801469,628
37641358,234
37841343,466
37127527,631
37287167,272
37651327,598
37731313,275
37651312,635
37681309,636
37147634,637
37651287,638
37701328,417
37741369,640
37801410,112
37630860,642
37701377,643
37327544,4
36361523,645
37840854,646
37771333,272
37821331,242
37771331,14
37711348,107
37701332,405
37641323,147
37811391,653
37741341,654
37671369,655
37841307,41
37601423,657
35763229,395
37811352,659
37801417,401
36049003,661
37690814,463
37821318,149
37741326,664
37681342,665
37711342,405
37631325,370
37671328,155
37791306,259
37611397,670
37731243,541
37671298,672
37077921,346
37691384,674
37811389,675
37621371,268
37661348,92
37721383,186
37841314,679
37831326,16
37791309,681
37741374,682
37711341,643
37811405,684
37771322,685
37611403,686
37611437,339
37681338,131
37841313,59
37307321,289
37661355,691
37711350,154
35854056,75
37801423,694
37781409,695
37831302,43
37831296,697
37631346,91
37621249,699
37791282,700
37761323,21
