addressId:ID(Address),zip_code,addr_state,home_ownership
134,494xx,MI,RENT
135,840xx,UT,RENT
136,088xx,NJ,MORTGAGE
138,916xx,CA,MORTGAGE
139,730xx,OK,MORTGAGE
141,782xx,TX,MORTGAGE
142,189xx,PA,MORTGAGE
143,294xx,SC,MORTGAGE
144,571xx,SD,MORTGAGE
145,170xx,PA,RENT
147,975xx,OR,MORTGAGE
148,995xx,AK,RENT
149,236xx,VA,RENT
150,190xx,PA,MORTGAGE
151,217xx,MD,RENT
152,857xx,AZ,RENT
153,206xx,MD,MORTGAGE
154,902xx,CA,RENT
155,949xx,CA,RENT
157,945xx,CA,RENT
158,553xx,MN,MORTGAGE
159,981xx,WA,RENT
160,105xx,NY,MORTGAGE
162,880xx,NM,RENT
163,100xx,NY,MORTGAGE
164,785xx,TX,MORTGAGE
165,372xx,TN,OWN
168,751xx,TX,MORTGAGE
169,957xx,CA,MORTGAGE
171,781xx,TX,RENT
173,064xx,CT,OWN
174,166xx,PA,MORTGAGE
175,945xx,CA,MORTGAGE
176,604xx,IL,MORTGAGE
177,350xx,AL,MORTGAGE
178,971xx,OR,RENT
179,290xx,SC,MORTGAGE
180,145xx,NY,MORTGAGE
181,231xx,VA,MORTGAGE
182,191xx,PA,OWN
183,060xx,CT,RENT
184,302xx,GA,MORTGAGE
185,193xx,PA,MORTGAGE
186,850xx,AZ,MORTGAGE
187,447xx,OH,OWN
189,953xx,CA,RENT
191,109xx,NY,RENT
193,322xx,FL,MORTGAGE
194,750xx,TX,RENT
196,972xx,OR,MORTGAGE
198,939xx,CA,RENT
199,223xx,VA,MORTGAGE
200,783xx,TX,RENT
201,761xx,TX,MORTGAGE
202,803xx,CO,RENT
203,462xx,IN,MORTGAGE
204,100xx,NY,OWN
206,908xx,CA,OWN
207,563xx,MN,MORTGAGE
208,721xx,AR,RENT
209,927xx,CA,RENT
210,370xx,TN,RENT
211,070xx,NJ,MORTGAGE
212,920xx,CA,RENT
213,770xx,TX,RENT
215,920xx,CA,MORTGAGE
216,735xx,OK,MORTGAGE
217,902xx,CA,OWN
218,730xx,OK,RENT
220,707xx,LA,RENT
221,919xx,CA,RENT
222,891xx,NV,RENT
223,086xx,NJ,MORTGAGE
224,497xx,MI,RENT
225,980xx,WA,MORTGAGE
226,191xx,PA,MORTGAGE
227,988xx,WA,MORTGAGE
229,708xx,LA,OWN
230,606xx,IL,OWN
231,019xx,MA,RENT
233,113xx,NY,RENT
234,276xx,NC,MORTGAGE
235,912xx,CA,MORTGAGE
236,123xx,NY,MORTGAGE
241,440xx,OH,MORTGAGE
242,780xx,TX,MORTGAGE
243,760xx,TX,RENT
244,800xx,CO,RENT
245,906xx,CA,MORTGAGE
246,946xx,CA,RENT
247,057xx,VT,OWN
248,331xx,FL,OWN
250,700xx,LA,RENT
251,935xx,CA,MORTGAGE
252,069xx,CT,MORTGAGE
254,020xx,MA,MORTGAGE
255,200xx,DC,RENT
256,450xx,OH,MORTGAGE
257,125xx,NY,MORTGAGE
258,752xx,TX,MORTGAGE
259,300xx,GA,RENT
261,913xx,CA,OWN
262,089xx,NJ,OWN
263,067xx,CT,OWN
264,028xx,RI,MORTGAGE
265,140xx,NY,OWN
266,984xx,WA,RENT
267,944xx,CA,RENT
268,331xx,FL,MORTGAGE
269,660xx,KS,MORTGAGE
270,114xx,NY,MORTGAGE
271,282xx,NC,RENT
272,921xx,CA,RENT
273,993xx,WA,MORTGAGE
275,900xx,CA,OWN
276,220xx,VA,RENT
277,466xx,IN,RENT
278,983xx,WA,RENT
279,752xx,TX,RENT
280,926xx,CA,MORTGAGE
282,494xx,MI,MORTGAGE
285,294xx,SC,OWN
286,190xx,PA,RENT
287,761xx,TX,RENT
288,606xx,IL,RENT
289,708xx,LA,RENT
290,756xx,TX,OWN
291,074xx,NJ,RENT
292,481xx,MI,OWN
293,463xx,IN,MORTGAGE
296,333xx,FL,MORTGAGE
297,939xx,CA,OWN
298,654xx,MO,MORTGAGE
299,297xx,SC,MORTGAGE
300,891xx,NV,OWN
302,363xx,AL,RENT
303,627xx,IL,MORTGAGE
304,705xx,LA,RENT
307,327xx,FL,MORTGAGE
308,607xx,IL,RENT
310,373xx,TN,MORTGAGE
311,321xx,FL,MORTGAGE
314,710xx,LA,MORTGAGE
316,361xx,AL,MORTGAGE
317,994xx,WA,MORTGAGE
318,980xx,WA,RENT
319,305xx,GA,RENT
320,600xx,IL,RENT
321,560xx,MN,RENT
323,281xx,NC,MORTGAGE
324,060xx,CT,MORTGAGE
328,778xx,TX,MORTGAGE
329,070xx,NJ,RENT
330,231xx,VA,RENT
331,895xx,NV,RENT
332,260xx,WV,OWN
333,462xx,IN,OWN
336,221xx,VA,MORTGAGE
337,486xx,MI,MORTGAGE
338,275xx,NC,MORTGAGE
339,983xx,WA,MORTGAGE
340,080xx,NJ,MORTGAGE
342,970xx,OR,MORTGAGE
343,705xx,LA,MORTGAGE
345,323xx,FL,MORTGAGE
346,958xx,CA,RENT
347,201xx,VA,MORTGAGE
348,846xx,UT,OWN
350,079xx,NJ,RENT
353,460xx,IN,RENT
356,240xx,VA,MORTGAGE
358,377xx,TN,OWN
360,462xx,IN,RENT
361,320xx,FL,MORTGAGE
363,549xx,WI,MORTGAGE
365,532xx,WI,MORTGAGE
366,301xx,GA,OWN
369,158xx,PA,MORTGAGE
370,921xx,CA,OWN
373,550xx,MN,MORTGAGE
374,601xx,IL,RENT
376,334xx,FL,RENT
378,722xx,AR,MORTGAGE
383,071xx,NJ,RENT
386,104xx,NY,OWN
387,073xx,NJ,RENT
389,104xx,NY,MORTGAGE
391,910xx,CA,MORTGAGE
392,890xx,NV,RENT
393,339xx,FL,RENT
394,790xx,TX,RENT
395,082xx,NJ,RENT
396,284xx,NC,RENT
397,488xx,MI,MORTGAGE
398,495xx,MI,MORTGAGE
399,959xx,CA,MORTGAGE
400,432xx,OH,RENT
401,972xx,OR,RENT
402,480xx,MI,MORTGAGE
403,114xx,NY,OWN
405,891xx,NV,MORTGAGE
407,024xx,MA,RENT
408,132xx,NY,RENT
409,337xx,FL,MORTGAGE
410,662xx,KS,RENT
411,605xx,IL,RENT
412,087xx,NJ,OWN
413,468xx,IN,MORTGAGE
414,240xx,VA,RENT
417,852xx,AZ,MORTGAGE
420,211xx,MD,MORTGAGE
421,378xx,TN,MORTGAGE
422,530xx,WI,MORTGAGE
426,559xx,MN,RENT
427,016xx,MA,OWN
428,120xx,NY,OWN
429,597xx,MT,MORTGAGE
431,329xx,FL,MORTGAGE
437,272xx,NC,MORTGAGE
438,261xx,WV,MORTGAGE
440,597xx,MT,RENT
442,067xx,CT,MORTGAGE
444,023xx,MA,MORTGAGE
448,172xx,PA,RENT
449,283xx,NC,RENT
452,600xx,IL,MORTGAGE
453,640xx,MO,MORTGAGE
455,144xx,NY,RENT
458,062xx,CT,RENT
460,927xx,CA,OWN
462,554xx,MN,RENT
463,100xx,NY,RENT
465,230xx,VA,OWN
466,301xx,GA,MORTGAGE
467,296xx,SC,MORTGAGE
468,068xx,CT,MORTGAGE
474,782xx,TX,RENT
476,430xx,OH,OWN
477,078xx,NJ,MORTGAGE
478,630xx,MO,OWN
479,328xx,FL,MORTGAGE
483,274xx,NC,MORTGAGE
489,534xx,WI,RENT
490,109xx,NY,OWN
492,775xx,TX,RENT
493,119xx,NY,RENT
494,928xx,CA,RENT
495,156xx,PA,MORTGAGE
501,235xx,VA,OWN
503,605xx,IL,OWN
504,378xx,TN,OWN
506,982xx,WA,MORTGAGE
509,958xx,CA,MORTGAGE
510,601xx,IL,OWN
511,449xx,OH,MORTGAGE
515,763xx,TX,RENT
516,751xx,TX,OWN
517,217xx,MD,MORTGAGE
519,139xx,NY,RENT
527,065xx,CT,RENT
529,630xx,MO,MORTGAGE
530,871xx,NM,RENT
531,334xx,FL,MORTGAGE
538,081xx,NJ,MORTGAGE
539,232xx,VA,MORTGAGE
541,224xx,VA,MORTGAGE
542,260xx,WV,MORTGAGE
543,917xx,CA,RENT
545,218xx,MD,RENT
552,370xx,TN,MORTGAGE
554,120xx,NY,MORTGAGE
555,021xx,MA,MORTGAGE
556,481xx,MI,RENT
558,908xx,CA,MORTGAGE
560,726xx,AR,MORTGAGE
561,605xx,IL,MORTGAGE
562,103xx,NY,MORTGAGE
565,769xx,TX,OWN
567,441xx,OH,RENT
568,535xx,WI,MORTGAGE
569,740xx,OK,MORTGAGE
570,927xx,CA,MORTGAGE
571,951xx,CA,MORTGAGE
574,701xx,LA,MORTGAGE
578,110xx,NY,RENT
579,870xx,NM,MORTGAGE
580,595xx,MT,RENT
581,208xx,MD,MORTGAGE
582,548xx,WI,MORTGAGE
584,937xx,CA,RENT
585,253xx,WV,MORTGAGE
586,913xx,CA,RENT
588,611xx,IL,MORTGAGE
589,029xx,RI,RENT
590,808xx,CO,MORTGAGE
593,112xx,NY,MORTGAGE
595,294xx,SC,RENT
597,440xx,OH,OWN
598,785xx,TX,RENT
601,802xx,CO,MORTGAGE
602,140xx,NY,RENT
603,453xx,OH,MORTGAGE
605,940xx,CA,RENT
606,151xx,PA,OWN
607,940xx,CA,MORTGAGE
610,121xx,NY,MORTGAGE
613,786xx,TX,RENT
614,112xx,NY,OWN
615,184xx,PA,MORTGAGE
617,430xx,OH,MORTGAGE
619,030xx,NH,RENT
621,559xx,MN,MORTGAGE
623,840xx,UT,MORTGAGE
627,950xx,CA,RENT
628,282xx,NC,OWN
631,447xx,OH,MORTGAGE
635,295xx,SC,MORTGAGE
636,354xx,AL,MORTGAGE
637,841xx,UT,MORTGAGE
638,085xx,NJ,RENT
640,108xx,NY,RENT
642,956xx,CA,RENT
643,917xx,CA,MORTGAGE
645,193xx,PA,RENT
646,306xx,GA,RENT
653,010xx,MA,MORTGAGE
654,801xx,CO,MORTGAGE
655,941xx,CA,RENT
657,531xx,WI,MORTGAGE
659,773xx,TX,OWN
661,336xx,FL,RENT
664,254xx,WV,RENT
665,641xx,MO,MORTGAGE
670,322xx,FL,OWN
672,714xx,LA,MORTGAGE
674,482xx,MI,MORTGAGE
675,703xx,LA,OWN
679,454xx,OH,MORTGAGE
681,840xx,UT,OWN
682,017xx,MA,MORTGAGE
684,242xx,VA,MORTGAGE
685,727xx,AR,RENT
686,461xx,IN,MORTGAGE
691,479xx,IN,MORTGAGE
694,038xx,NH,RENT
695,018xx,MA,MORTGAGE
697,613xx,IL,MORTGAGE
699,594xx,MT,MORTGAGE
700,435xx,OH,MORTGAGE
