,addr_state,annual_inc,application_type,dti,dti_joint,emp_length,emp_title,funded_amnt,home_ownership,issue_d,loan_status,member_id,open_acc,pub_rec,purpose,term,zip_code,open_il_12m,total_bal_il,id
12,NY,75000.0,Individual,23.63,,10+ years,Deputy sheriff,17000.0,MORTGAGE,Dec-2014,Fully Paid,,7.0,0.0,debt_consolidation, 36 months,144xx,,,37682226
13,IL,55000.0,Individual,29.5,,10+ years,Paralegal,21075.0,MORTGAGE,Dec-2014,Current,,14.0,0.0,debt_consolidation, 60 months,606xx,,,37712169
14,KY,120000.0,Individual,6.87,,10+ years,Assistant manager,6000.0,MORTGAGE,Dec-2014,Fully Paid,,11.0,0.0,home_improvement, 36 months,403xx,,,37742129
15,NY,32200.0,Individual,22.14,,8 years,practice plan associate,2000.0,RENT,Dec-2014,Fully Paid,,10.0,1.0,credit_card, 36 months,112xx,,,37742142
16,CA,60000.0,Individual,9.54,,9 years,Respiratory Therapist,3000.0,RENT,Dec-2014,Fully Paid,,7.0,0.0,medical, 36 months,926xx,,,36520573
17,AZ,37000.0,Individual,16.19,,7 years,Student Services Coordinator,2000.0,RENT,Dec-2014,Fully Paid,,9.0,0.0,other, 36 months,852xx,,,37854423
18,FL,52000.0,Individual,5.98,,2 years,Sales Rep,2000.0,RENT,Dec-2014,Fully Paid,,3.0,0.0,other, 36 months,329xx,,,37822018
19,GA,40000.0,Individual,16.23,,5 years,nurse,13550.0,OWN,Dec-2014,Current,,8.0,0.0,debt_consolidation, 60 months,304xx,,,37752109
20,TX,84000.0,Individual,18.79,,5 years,Director of Operations,7200.0,MORTGAGE,Dec-2014,Current,,11.0,0.0,debt_consolidation, 36 months,760xx,,,36441833
21,TX,42000.0,Individual,35.68,,10+ years,first grade teacher,14000.0,OWN,Dec-2014,Current,,13.0,0.0,credit_card, 36 months,754xx,,,37611006
22,MN,60000.0,Individual,18.38,,3 years,Attorney,1000.0,OWN,Dec-2014,Fully Paid,,17.0,0.0,other, 36 months,567xx,,,37822020
23,CA,20000.0,Individual,14.99,,1 year,office manager,6000.0,RENT,Dec-2014,Fully Paid,,11.0,0.0,debt_consolidation, 36 months,960xx,,,37740199
24,FL,70000.0,Individual,9.11,,8 years,Education Advising Manager,18000.0,OWN,Dec-2014,Fully Paid,,6.0,0.0,debt_consolidation, 36 months,333xx,,,36280613
25,IN,21312.0,Individual,5.46,,,,2000.0,RENT,Dec-2014,Fully Paid,,14.0,0.0,medical, 36 months,463xx,,,36109709
26,IN,42000.0,Individual,18.89,,8 years,Asset Protection,10800.0,MORTGAGE,Dec-2014,Fully Paid,,19.0,0.0,debt_consolidation, 36 months,467xx,,,37791988
27,CO,108000.0,Individual,23.37,,10+ years,construction foreman,18450.0,MORTGAGE,Dec-2014,Charged Off,,11.0,0.0,home_improvement, 36 months,810xx,,,37822030
28,FL,67000.0,Individual,16.13,,2 years,Humana Cares Manager,28000.0,MORTGAGE,Dec-2014,Fully Paid,,15.0,0.0,debt_consolidation, 60 months,336xx,,,37692106
29,NY,50000.0,Individual,33.99,,9 years,Accounting clerk,4000.0,RENT,Dec-2014,Fully Paid,,12.0,0.0,debt_consolidation, 36 months,114xx,,,37832099
30,TX,48000.0,Individual,17.53,,3 years,Appraiser,15000.0,MORTGAGE,Dec-2014,Current,,8.0,0.0,other, 60 months,770xx,,,37622029
31,AZ,52000.0,Individual,14.35,,4 years,Teacher,5000.0,MORTGAGE,Dec-2014,Charged Off,,9.0,1.0,debt_consolidation, 36 months,853xx,,,37661949
32,IL,42000.0,Individual,11.51,,7 years,Store Manager,9600.0,MORTGAGE,Dec-2014,Fully Paid,,10.0,1.0,debt_consolidation, 36 months,629xx,,,37681488
33,NC,75000.0,Individual,17.71,,< 1 year,Financial Advisor,3625.0,MORTGAGE,Dec-2014,Fully Paid,,6.0,0.0,debt_consolidation, 36 months,273xx,,,37742002
34,AL,84000.0,Individual,19.73,,10+ years,Fleet Tech III,15000.0,MORTGAGE,Dec-2014,Fully Paid,,10.0,1.0,credit_card, 36 months,363xx,,,37631679
35,LA,31240.0,Individual,15.02,,7 years,Cash Mgmt Clerk,11175.0,RENT,Dec-2014,Current,,9.0,0.0,debt_consolidation, 36 months,704xx,,,37731951
36,CA,120000.0,Individual,19.21,,10+ years,Senior Software Engineer,21000.0,OWN,Dec-2014,Fully Paid,,5.0,0.0,debt_consolidation, 36 months,958xx,,,37631992
37,CT,70000.0,Individual,11.91,,8 years,Owner,8000.0,RENT,Dec-2014,Fully Paid,,6.0,0.0,debt_consolidation, 36 months,064xx,,,37681595
38,NJ,65000.0,Individual,15.36,,< 1 year,High Pressure Plant Tender,17600.0,MORTGAGE,Dec-2014,Fully Paid,,10.0,0.0,credit_card, 60 months,077xx,,,37751772
39,CT,90000.0,Individual,14.67,,3 years,Department Chair Undergraduate Marketing,28000.0,OWN,Dec-2014,Current,,25.0,0.0,debt_consolidation, 60 months,060xx,,,37692004
40,MS,60000.0,Individual,34.1,,10+ years,E-6/Technical Sergeant,11000.0,MORTGAGE,Dec-2014,Current,,11.0,0.0,debt_consolidation, 36 months,395xx,,,37631762
41,CO,50000.0,Individual,15.55,,2 years,Community Manager,5675.0,RENT,Dec-2014,Fully Paid,,7.0,0.0,car, 36 months,802xx,,,37791982
42,FL,19000.0,Individual,26.06,,1 year,Graduate Teaching Assistant,6825.0,RENT,Dec-2014,Fully Paid,,7.0,0.0,debt_consolidation, 36 months,328xx,,,37651933
43,CA,54797.0,Individual,11.05,,10+ years,Accouting Manager,5000.0,RENT,Dec-2014,Current,,7.0,1.0,moving, 36 months,925xx,,,37791971
44,GA,53800.0,Individual,15.93,,10+ years,Export Analyst,1500.0,RENT,Dec-2014,Current,,4.0,0.0,debt_consolidation, 36 months,303xx,,,37651870
45,NC,84000.0,Individual,12.83,,< 1 year,Risk Management Program Coordinator,20000.0,MORTGAGE,Dec-2014,Current,,15.0,0.0,debt_consolidation, 60 months,277xx,,,37612142
46,KS,85000.0,Individual,11.97,,10+ years,operator,3000.0,MORTGAGE,Dec-2014,Fully Paid,,5.0,0.0,debt_consolidation, 36 months,670xx,,,37742008
47,AL,94000.0,Individual,22.33,,3 years,Senior Logistics Analyst,8000.0,MORTGAGE,Dec-2014,Fully Paid,,24.0,0.0,debt_consolidation, 36 months,358xx,,,10089665
48,AZ,40000.0,Individual,24.36,,3 years,Pilot,15000.0,RENT,Dec-2014,Current,,7.0,0.0,debt_consolidation, 60 months,853xx,,,37651881
49,TX,157000.0,Individual,21.73,,10+ years,Associate Director Flight Operations,14000.0,OWN,Dec-2014,Fully Paid,,8.0,0.0,debt_consolidation, 60 months,770xx,,,37811785
50,NY,95000.0,Individual,20.21,,10+ years,engineer,5000.0,RENT,Dec-2014,Fully Paid,,7.0,0.0,house, 36 months,130xx,,,37802003
51,FL,40000.0,Individual,25.96,,1 year,Senior Care Coordinator,16000.0,RENT,Dec-2014,Current,,9.0,0.0,debt_consolidation, 60 months,327xx,,,37077753
52,MN,55000.0,Individual,21.3,,10+ years,administrative assistant,4200.0,MORTGAGE,Dec-2014,Fully Paid,,12.0,0.0,debt_consolidation, 36 months,560xx,,,37661932
53,FL,45000.0,Individual,13.47,,9 years,Customerservice,14000.0,RENT,Dec-2014,Charged Off,,20.0,0.0,credit_card, 36 months,331xx,,,37711991
54,NC,35000.0,Individual,24.45,,7 years,Sgt,2400.0,OWN,Dec-2014,Fully Paid,,8.0,1.0,other, 36 months,283xx,,,37702003
55,PA,45000.0,Individual,8.54,,2 years,Industrial Worker,18000.0,OWN,Dec-2014,Fully Paid,,18.0,0.0,credit_card, 36 months,196xx,,,37641966
56,OH,45000.0,Individual,29.55,,10+ years,machinist,1000.0,MORTGAGE,Dec-2014,Current,,14.0,0.0,other, 36 months,452xx,,,37692013
57,FL,80000.0,Individual,26.2,,10+ years,RN,24000.0,MORTGAGE,Dec-2014,Fully Paid,,22.0,0.0,credit_card, 36 months,324xx,,,37661950
58,UT,60000.0,Individual,28.78,,4 years,Nurse,12000.0,RENT,Dec-2014,Fully Paid,,12.0,0.0,debt_consolidation, 60 months,841xx,,,37791945
59,GA,100000.0,Individual,24.7,,10+ years,Teacher/Admin,20000.0,MORTGAGE,Dec-2014,Fully Paid,,5.0,0.0,credit_card, 36 months,300xx,,,37661936
60,AR,46800.0,Individual,20.79,,10+ years,dispatch supv,20975.0,MORTGAGE,Dec-2014,Current,,4.0,0.0,home_improvement, 60 months,728xx,,,37641656
61,MD,34000.0,Individual,28.77,,4 years,Nanny,4500.0,OWN,Dec-2014,Charged Off,,18.0,1.0,major_purchase, 36 months,210xx,,,37791995
62,IL,133995.0,Individual,9.21,,10+ years,"Manager, Information Technology",32800.0,OWN,Dec-2014,Current,,10.0,0.0,credit_card, 60 months,600xx,,,37782066
63,NJ,32000.0,Individual,38.86,,4 years,HEAD TELLER,5000.0,RENT,Dec-2014,Fully Paid,,17.0,0.0,debt_consolidation, 36 months,076xx,,,37612144
64,AL,60400.0,Individual,33.66,,10+ years,"Exec Budget Coord, Acad",10975.0,OWN,Dec-2014,Charged Off,,22.0,0.0,debt_consolidation, 60 months,368xx,,,37841931
65,KY,75000.0,Individual,19.33,,5 years,Financial Institution Specialist,10000.0,MORTGAGE,Dec-2014,Fully Paid,,14.0,0.0,credit_card, 36 months,402xx,,,37610751
66,HI,81200.0,Individual,29.38,,8 years,Weather forecaster,8750.0,MORTGAGE,Dec-2014,Fully Paid,,12.0,0.0,moving, 36 months,967xx,,,37831998
67,MO,32000.0,Individual,23.78,,1 year,Psych Therapyst ,9000.0,RENT,Dec-2014,Current,,8.0,0.0,debt_consolidation, 36 months,631xx,,,37791865
68,TX,42000.0,Individual,11.03,,2 years,International Adviser,6000.0,RENT,Dec-2014,Fully Paid,,17.0,0.0,debt_consolidation, 36 months,787xx,,,37612112
69,NM,48500.0,Individual,12.99,,6 years,Milk Lab Manager,21000.0,MORTGAGE,Dec-2014,Fully Paid,,8.0,0.0,debt_consolidation, 60 months,881xx,,,37720651
70,OH,117000.0,Individual,25.65,,10+ years,911 Director,10000.0,MORTGAGE,Dec-2014,Current,,11.0,0.0,debt_consolidation, 36 months,439xx,,,37601829
71,FL,60000.0,Individual,31.14,,5 years,relationship manager,27525.0,RENT,Dec-2014,Fully Paid,,17.0,0.0,debt_consolidation, 60 months,333xx,,,37802030
72,VA,42500.0,Individual,33.21,,5 years,Technologist,2400.0,RENT,Dec-2014,Fully Paid,,10.0,0.0,debt_consolidation, 36 months,232xx,,,37761127
73,NY,82000.0,Individual,15.1,,10+ years,Business Manager,12000.0,RENT,Dec-2014,Fully Paid,,12.0,1.0,debt_consolidation, 36 months,130xx,,,37721473
74,CA,40000.0,Individual,29.33,,6 years,Production Assistant,4600.0,RENT,Dec-2014,Fully Paid,,13.0,1.0,debt_consolidation, 36 months,900xx,,,37782131
75,NY,60000.0,Individual,33.62,,8 years,Accountant,24000.0,RENT,Dec-2014,Current,,27.0,0.0,debt_consolidation, 60 months,117xx,,,36890155
76,VA,45800.0,Individual,23.45,,1 year,loan officer,6400.0,RENT,Dec-2014,Fully Paid,,8.0,0.0,credit_card, 36 months,201xx,,,37831974
77,IL,43000.0,Individual,13.86,,8 years,Project Manager,18000.0,RENT,Dec-2014,Fully Paid,,10.0,0.0,debt_consolidation, 36 months,620xx,,,37681956
78,TX,155000.0,Individual,15.23,,10+ years,Associate Professor,24000.0,RENT,Dec-2014,Fully Paid,,10.0,0.0,credit_card, 36 months,774xx,,,36400279
79,AZ,75000.0,Individual,5.68,,3 years,Customer Service Manager,21000.0,MORTGAGE,Dec-2014,Current,,8.0,0.0,credit_card, 36 months,863xx,,,37197554
80,VA,109000.0,Individual,24.69,,2 years,Cybersecuriity specialst,2800.0,MORTGAGE,Dec-2014,Fully Paid,,15.0,0.0,home_improvement, 36 months,234xx,,,37691930
81,NY,41000.0,Individual,17.77,,10+ years,Doorman,13375.0,RENT,Dec-2014,Current,,5.0,0.0,credit_card, 60 months,104xx,,,36803735
82,NH,45000.0,Individual,33.2,,3 years,Iron worker/ welder,15000.0,RENT,Dec-2014,Fully Paid,,11.0,0.0,debt_consolidation, 36 months,032xx,,,37801983
83,TX,48000.0,Individual,23.58,,3 years,Mechanic,13000.0,MORTGAGE,Dec-2014,Fully Paid,,8.0,0.0,debt_consolidation, 36 months,789xx,,,37681948
84,VA,78800.0,Individual,10.94,,7 years,Consultant,35000.0,RENT,Dec-2014,Fully Paid,,10.0,0.0,debt_consolidation, 36 months,223xx,,,37691945
85,MD,385000.0,Individual,18.03,,4 years,Physician,35000.0,MORTGAGE,Dec-2014,Fully Paid,,21.0,0.0,credit_card, 36 months,210xx,,,37621910
86,MI,66000.0,Individual,28.17,,10+ years,"Manager, Regulatory",15000.0,MORTGAGE,Dec-2014,Fully Paid,,14.0,0.0,debt_consolidation, 36 months,481xx,,,37601999
87,TN,25000.0,Individual,15.94,,5 years,Front Desk,7500.0,RENT,Dec-2014,Fully Paid,,8.0,0.0,debt_consolidation, 36 months,379xx,,,37701933
88,FL,16344.0,Individual,16.27,,,,5500.0,RENT,Dec-2014,Charged Off,,6.0,0.0,debt_consolidation, 36 months,331xx,,,37841841
89,AL,55000.0,Individual,20.72,,6 years,buyer,19200.0,MORTGAGE,Dec-2014,Fully Paid,,7.0,0.0,debt_consolidation, 60 months,356xx,,,37671926
90,TX,74300.0,Individual,14.02,,7 years,IT specialist,12000.0,MORTGAGE,Dec-2014,Fully Paid,,8.0,0.0,credit_card, 60 months,787xx,,,37711908
91,CA,99789.0,Individual,19.69,,5 years,occupational therapist,28000.0,RENT,Dec-2014,Current,,14.0,0.0,debt_consolidation, 36 months,907xx,,,37691941
92,FL,55000.0,Individual,7.42,,2 years,Logistics Team Lead,24000.0,OWN,Dec-2014,Fully Paid,,8.0,0.0,home_improvement, 60 months,337xx,,,37681444
93,MN,48000.0,Individual,24.9,,2 years,Vocational Rehabilitation Counselor,15600.0,MORTGAGE,Dec-2014,Fully Paid,,15.0,0.0,debt_consolidation, 60 months,560xx,,,37831861
94,TX,45000.0,Individual,22.42,,4 years,LVN,5000.0,MORTGAGE,Dec-2014,Fully Paid,,11.0,1.0,debt_consolidation, 36 months,750xx,,,37841743
95,MA,74500.0,Individual,8.05,,10+ years,Clinical Data Lead,22200.0,RENT,Dec-2014,Charged Off,,7.0,0.0,debt_consolidation, 60 months,015xx,,,37752007
96,FL,29000.0,Individual,35.64,,10+ years,Dept. Manager,10375.0,RENT,Dec-2014,Fully Paid,,11.0,0.0,debt_consolidation, 36 months,347xx,,,37761915
97,IL,100000.0,Individual,21.64,,5 years,Sales Manager,5000.0,MORTGAGE,Dec-2014,Fully Paid,,10.0,0.0,debt_consolidation, 36 months,601xx,,,37701906
98,CT,108150.0,Individual,25.61,,5 years,Associate,15000.0,MORTGAGE,Dec-2014,Current,,13.0,0.0,debt_consolidation, 36 months,064xx,,,454052
99,MO,33000.0,Individual,21.2,,10+ years,Housekeeping Supervisor,5000.0,MORTGAGE,Dec-2014,Current,,7.0,1.0,credit_card, 36 months,637xx,,,26298574
100,WV,32500.0,Individual,28.06,,5 years,HR Supervisor,6000.0,RENT,Dec-2014,Current,,9.0,0.0,debt_consolidation, 36 months,265xx,,,37671937
101,KS,75000.0,Individual,20.39,,5 years,Principal,19000.0,MORTGAGE,Dec-2014,Current,,10.0,0.0,credit_card, 36 months,672xx,,,34372079
102,GA,175000.0,Individual,15.78,,1 year,Director,28000.0,MORTGAGE,Dec-2014,Fully Paid,,12.0,0.0,credit_card, 60 months,303xx,,,37751999
103,NJ,91000.0,Individual,2.76,,10+ years,Firefighter,35000.0,RENT,Dec-2014,Fully Paid,,9.0,1.0,debt_consolidation, 60 months,080xx,,,37791882
104,NY,109000.0,Individual,22.07,,3 years,director,18000.0,MORTGAGE,Dec-2014,Current,,15.0,0.0,debt_consolidation, 36 months,117xx,,,37800170
105,MI,26000.0,Individual,28.81,,4 years,Bus Friver,6000.0,MORTGAGE,Dec-2014,Current,,12.0,0.0,debt_consolidation, 36 months,481xx,,,37267592
106,CO,80000.0,Individual,22.32,,< 1 year,Sr manager,16000.0,MORTGAGE,Dec-2014,Charged Off,,17.0,0.0,debt_consolidation, 36 months,800xx,,,37671924
107,OH,95000.0,Individual,21.12,,3 years,Application Software Developer,28000.0,MORTGAGE,Dec-2014,Fully Paid,,31.0,0.0,debt_consolidation, 36 months,442xx,,,37741891
108,SD,92000.0,Individual,16.29,,3 years,Production Manager,5600.0,MORTGAGE,Dec-2014,Fully Paid,,17.0,1.0,debt_consolidation, 36 months,574xx,,,37771886
109,CA,133000.0,Individual,14.13,,,,3000.0,MORTGAGE,Dec-2014,Fully Paid,,10.0,0.0,other, 36 months,922xx,,,37691982
110,GA,59103.0,Individual,34.5,,10+ years,production controller,12600.0,MORTGAGE,Dec-2014,Fully Paid,,13.0,1.0,debt_consolidation, 60 months,310xx,,,37691975
111,CA,50000.0,Individual,15.45,,1 year,Technical Support Associate,8000.0,RENT,Dec-2014,Fully Paid,,12.0,0.0,debt_consolidation, 36 months,951xx,,,37641921
112,CT,45000.0,Individual,26.75,,9 years,Sales ,8000.0,RENT,Dec-2014,Current,,8.0,0.0,credit_card, 36 months,064xx,,,37621901
113,NM,52080.0,Individual,7.47,,2 years,Shop Manager ,4800.0,MORTGAGE,Dec-2014,Fully Paid,,5.0,0.0,debt_consolidation, 36 months,871xx,,,37661861
114,TX,65000.0,Individual,28.31,,4 years,Physical Security,22500.0,MORTGAGE,Dec-2014,Fully Paid,,10.0,0.0,debt_consolidation, 36 months,762xx,,,37641666
115,NM,56719.0,Individual,32.67,,10+ years,clerk,16950.0,MORTGAGE,Dec-2014,Charged Off,,32.0,0.0,debt_consolidation, 60 months,871xx,,,37782025
116,TX,75000.0,Individual,24.4,,10+ years,rn,16375.0,MORTGAGE,Dec-2014,Fully Paid,,13.0,1.0,debt_consolidation, 36 months,750xx,,,37661855
117,CA,35000.0,Individual,20.07,,10+ years,Monitor tech/secretary,3000.0,OWN,Dec-2014,Fully Paid,,9.0,1.0,other, 36 months,917xx,,,37761908
118,GA,65000.0,Individual,11.39,,2 years,Truck Driver,5000.0,MORTGAGE,Dec-2014,Charged Off,,10.0,0.0,home_improvement, 36 months,300xx,,,37641959
119,MA,140000.0,Individual,29.47,,10+ years,manager,21000.0,MORTGAGE,Dec-2014,Current,,17.0,0.0,credit_card, 60 months,015xx,,,37601979
120,KY,39926.0,Individual,14.07,,2 years,DRP Planner,8000.0,MORTGAGE,Dec-2014,Fully Paid,,13.0,0.0,home_improvement, 36 months,410xx,,,37681953
121,NY,21000.0,Individual,19.94,,2 years,Teacher,6700.0,RENT,Dec-2014,Fully Paid,,5.0,0.0,credit_card, 36 months,112xx,,,37721926
122,GA,140000.0,Individual,18.21,,2 years,Assistant Vice President - Finance,12000.0,MORTGAGE,Dec-2014,Current,,28.0,0.0,credit_card, 60 months,300xx,,,37731902
123,PA,65000.0,Individual,18.54,,8 years,Furnace Operator,3000.0,MORTGAGE,Dec-2014,Fully Paid,,8.0,0.0,debt_consolidation, 36 months,179xx,,,37771899
124,NJ,80000.0,Individual,15.97,,10+ years,DC1,18700.0,RENT,Dec-2014,Fully Paid,,7.0,0.0,debt_consolidation, 36 months,077xx,,,37701472
125,MA,68000.0,Individual,27.29,,2 years,Dir. of Community Standards,26000.0,RENT,Dec-2014,Current,,14.0,0.0,debt_consolidation, 36 months,023xx,,,37612040
126,CO,45000.0,Individual,20.48,,1 year,Credit Analyst,7000.0,RENT,Dec-2014,Fully Paid,,9.0,0.0,credit_card, 36 months,802xx,,,37731824
127,MD,148000.0,Individual,14.79,,10+ years,Senior Analyst,21000.0,MORTGAGE,Dec-2014,Fully Paid,,7.0,0.0,debt_consolidation, 36 months,207xx,,,37701802
128,FL,63000.0,Individual,11.81,,2 years,management  ,15000.0,MORTGAGE,Dec-2014,Current,,14.0,0.0,debt_consolidation, 60 months,330xx,,,37771879
129,MA,70000.0,Individual,15.62,,3 years,Owner,6850.0,RENT,Dec-2014,Current,,22.0,1.0,vacation, 36 months,016xx,,,37641406
130,TX,53000.0,Individual,21.96,,5 years,Teacher,1200.0,RENT,Dec-2014,Current,,27.0,0.0,credit_card, 36 months,751xx,,,37641837
131,CA,113000.0,Individual,5.55,,5 years,Region Manager,13400.0,MORTGAGE,Dec-2014,Fully Paid,,6.0,0.0,debt_consolidation, 36 months,928xx,,,37751916
132,AZ,83000.0,Individual,25.12,,7 years,Engineer,1000.0,MORTGAGE,Dec-2014,Fully Paid,,10.0,0.0,medical, 36 months,857xx,,,37631861
133,MI,70000.0,Individual,10.61,,7 years,General Manager,2400.0,RENT,Dec-2014,Fully Paid,,16.0,0.0,debt_consolidation, 36 months,494xx,,,37841820
134,UT,55000.0,Individual,23.0,,9 years,Workforce Manager,14575.0,RENT,Dec-2014,Fully Paid,,15.0,0.0,debt_consolidation, 36 months,840xx,,,37407156
135,NJ,73000.0,Individual,6.94,,10+ years,Field Service Engineer,14000.0,MORTGAGE,Dec-2014,Fully Paid,,4.0,0.0,debt_consolidation, 36 months,088xx,,,37831843
136,CA,105000.0,Individual,10.54,,7 years,sales,16400.0,MORTGAGE,Dec-2014,Fully Paid,,17.0,0.0,other, 36 months,953xx,,,37791794
137,CA,130000.0,Individual,13.43,,10+ years,Deputy Attorney IV ,8000.0,MORTGAGE,Dec-2014,Current,,12.0,1.0,debt_consolidation, 36 months,916xx,,,37821851
138,OK,61972.0,Individual,25.25,,10+ years,MANAGER,27200.0,MORTGAGE,Dec-2014,Charged Off,,7.0,4.0,debt_consolidation, 60 months,730xx,,,37631842
139,VA,70000.0,Individual,27.34,,10+ years,senior chief,22400.0,MORTGAGE,Dec-2014,Charged Off,,9.0,0.0,debt_consolidation, 60 months,234xx,,,37681636
140,TX,65000.0,Individual,33.57,,10+ years,Quality Documentation Group Leader,22000.0,MORTGAGE,Dec-2014,Current,,15.0,0.0,debt_consolidation, 36 months,782xx,,,37620367
141,PA,50000.0,Individual,16.47,,2 years,Graphic Designer,20000.0,MORTGAGE,Dec-2014,Charged Off,,9.0,0.0,credit_card, 36 months,189xx,,,37711880
142,SC,30371.0,Individual,12.02,,10+ years,Circulation Suoervisor,2850.0,MORTGAGE,Dec-2014,Fully Paid,,4.0,0.0,debt_consolidation, 36 months,294xx,,,37821880
143,SD,24000.0,Individual,10.0,,< 1 year,Program Assistant,4000.0,MORTGAGE,Dec-2014,Fully Paid,,9.0,3.0,home_improvement, 36 months,571xx,,,37854137
144,PA,62000.0,Individual,20.44,,6 years,Infrastructure Architecht,10000.0,RENT,Dec-2014,Fully Paid,,14.0,0.0,debt_consolidation, 36 months,170xx,,,37731834
145,FL,44200.0,Individual,16.56,,9 years,Adjuster,15850.0,RENT,Dec-2014,Charged Off,,13.0,1.0,credit_card, 36 months,328xx,,,37691888
146,OR,65000.0,Individual,17.82,,2 years,butcher block supervisor,6150.0,MORTGAGE,Dec-2014,Fully Paid,,9.0,2.0,debt_consolidation, 36 months,975xx,,,37761254
147,AK,68000.0,Individual,32.09,,10+ years,Assistant Manager,25000.0,RENT,Dec-2014,Current,,14.0,0.0,debt_consolidation, 60 months,995xx,,,37681895
148,VA,77000.0,Individual,32.68,,10+ years,Superintendent,10000.0,RENT,Dec-2014,Fully Paid,,27.0,0.0,debt_consolidation, 60 months,236xx,,,37661840
149,PA,125000.0,Individual,23.13,,10+ years,Senior IT Proj Manager,28000.0,MORTGAGE,Dec-2014,Fully Paid,,22.0,0.0,credit_card, 60 months,190xx,,,37631915
150,MD,100000.0,Individual,7.21,,< 1 year,Systems Engineer,12000.0,RENT,Dec-2014,Fully Paid,,5.0,0.0,debt_consolidation, 36 months,217xx,,,37761067
151,AZ,35000.0,Individual,26.58,,9 years,Administrative Supervisor,17500.0,RENT,Dec-2014,Fully Paid,,11.0,0.0,debt_consolidation, 36 months,857xx,,,37761825
152,MD,106500.0,Individual,9.58,,4 years,Contract Specialist,10200.0,MORTGAGE,Dec-2014,Charged Off,,10.0,0.0,medical, 60 months,206xx,,,37651796
153,CA,50000.0,Individual,13.66,,6 years,Helpdesk L2,3000.0,RENT,Dec-2014,Fully Paid,,6.0,0.0,major_purchase, 36 months,902xx,,,37631862
154,CA,68000.0,Individual,7.04,,1 year,Communications Manager,7500.0,RENT,Dec-2014,Fully Paid,,7.0,1.0,debt_consolidation, 36 months,949xx,,,37681180
155,AZ,50000.0,Individual,22.39,,7 years,Manager,6500.0,RENT,Dec-2014,Current,,6.0,0.0,debt_consolidation, 36 months,850xx,,,37700576
156,CA,37400.0,Individual,15.28,,10+ years,Medical office admin.,10000.0,RENT,Dec-2014,Current,,6.0,1.0,credit_card, 60 months,945xx,,,37831927
157,MN,85000.0,Individual,14.29,,10+ years,Team Lead,26400.0,MORTGAGE,Dec-2014,Charged Off,,11.0,1.0,debt_consolidation, 60 months,553xx,,,37621870
158,WA,40000.0,Individual,27.23,,3 years,Registered Nurse,9000.0,RENT,Dec-2014,Fully Paid,,12.0,0.0,debt_consolidation, 36 months,981xx,,,37751902
159,NY,70000.0,Individual,26.81,,10+ years,Administrative Assistant,14400.0,MORTGAGE,Dec-2014,Charged Off,,14.0,1.0,debt_consolidation, 60 months,105xx,,,37781998
160,TX,91000.0,Individual,10.42,,2 years,Recruiter,18000.0,MORTGAGE,Dec-2014,Charged Off,,11.0,0.0,debt_consolidation, 60 months,750xx,,,37731712
